simulation_0,1
simulation_1,2
simulation_2,2B
simulation_3,2C
simulation_4,2.010
simulation_5,3
simulation_6,3B
simulation_7,3C
simulation_8,4
simulation_9,4B
simulation_10,5
simulation_11,5B
simulation_12,6
simulation_13,7
simulation_14,8
simulation_15,8.002
simulation_16,9
simulation_17,10
simulation_18,11
simulation_19,12
simulation_20,13
simulation_21,14
simulation_22,15
simulation_23,16
simulation_24,17
simulation_25,18
simulation_26,19
simulation_27,22
simulation_28,23
simulation_29,24
simulation_30,25
simulation_31,26
simulation_32,28
simulation_33,29
simulation_34,30
simulation_35,31
simulation_36,32
simulation_37,33
simulation_38,34
simulation_39,35
simulation_40,35.002
simulation_41,38
simulation_42,39
simulation_0,8.002,1
simulation_1,25,12
simulation_2,2,3
simulation_3,24,35.002
simulation_4,8.002,33
simulation_5,28,6
simulation_6,19,8.002
simulation_7,12,25
simulation_8,22,6
simulation_9,3B,26
simulation_10,10,24
simulation_11,25,22
simulation_12,35,39
simulation_13,4,34
simulation_14,26,2B
simulation_15,11,3C
simulation_16,4B,3B
simulation_17,8.002,1
simulation_18,5,13
simulation_19,3B,5
simulation_20,13,9
simulation_21,26,29
simulation_22,28,15
simulation_23,19,1
simulation_24,6,3
simulation_25,8,12
simulation_26,26,16
simulation_27,22,35
simulation_28,38,2
simulation_29,10,28
simulation_30,22,26
simulation_31,24,13
simulation_32,14,22
simulation_33,4B,17
simulation_34,13,32
simulation_35,10,26
simulation_36,13,6
simulation_37,23,14
simulation_38,11,5B
simulation_39,19,11
simulation_40,5B,30
simulation_41,9,1
simulation_42,25,22
simulation_43,10,2C
simulation_44,38,2
simulation_45,19,18
simulation_46,24,15
simulation_47,8.002,3
simulation_48,2B,14
simulation_49,35.002,13
simulation_50,11,18
simulation_51,2C,26
simulation_52,5B,24
simulation_53,32,34
simulation_54,3B,25
simulation_55,28,18
simulation_56,24,13
simulation_57,4B,22
simulation_58,11,2C
simulation_59,35,31
simulation_60,30,33
simulation_61,35,2
simulation_62,5,30
simulation_63,9,4
simulation_64,39,2.010
simulation_65,2B,5B
simulation_66,31,5B
simulation_67,7,34
simulation_68,4B,2C
simulation_69,3B,4
simulation_70,7,32
simulation_71,17,35
simulation_72,28,24
simulation_73,8,10
simulation_74,17,5B
simulation_75,32,1
simulation_76,8,22
simulation_77,5,39
simulation_78,3C,35
simulation_79,3C,1
simulation_80,35,5B
simulation_81,12,7
simulation_82,8.002,2C
simulation_83,11,31
simulation_84,23,5B
simulation_85,7,39
simulation_86,34,3
simulation_87,5,24
simulation_88,6,35.002
simulation_89,34,7
simulation_90,3C,25
simulation_91,2.010,8
simulation_92,5B,39
simulation_93,10,35.002
simulation_94,18,28
simulation_95,3C,5
simulation_96,22,3B
simulation_97,28,26
simulation_98,30,32
simulation_99,11,3
simulation_100,1,15
simulation_101,8,30
simulation_102,23,24
simulation_103,28,23
simulation_104,7,26
simulation_105,9,3
simulation_106,10,30
simulation_107,2.010,14
simulation_108,5B,31
